 :::: VPP results :::: 
      V_tw   alfa_tw         V       VMG       phi         b         F    Fdrive     Fside     Mheel      Rtot  Rrh+RrhH  Rvh+RvhH  Rrk+RrkH       Rvk        Ri       Rvr
      0.10    109.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    110.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    111.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    112.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    113.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    114.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    115.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.01      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    116.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    117.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    118.00      0.07     -0.03      0.01      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    119.00      0.07     -0.04      0.01      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    120.00      0.07     -0.04      0.01      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    121.00      0.07     -0.04      0.01      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    122.00      0.07     -0.04      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    123.00      0.07     -0.04      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    124.00      0.07     -0.04      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    125.00      0.07     -0.04      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    126.00      0.07     -0.04      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    127.00      0.07     -0.04      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    128.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    129.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    130.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    131.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    132.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    133.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    134.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    135.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    136.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    137.00      0.07     -0.05      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    138.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    139.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    140.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    141.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    142.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    143.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    144.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    145.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    146.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    147.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    148.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    149.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    150.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    151.00      0.07     -0.06      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    152.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    153.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    154.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    155.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    156.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    157.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    158.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    159.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    160.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    161.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    162.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    163.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    164.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    165.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    166.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    167.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    168.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    169.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    170.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    171.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    172.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    173.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    174.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    175.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    176.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    177.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    178.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    179.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    180.00      0.07     -0.07      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.60     40.00      0.10      0.07      0.35      0.00      1.00      0.06      0.30      0.25      0.06      0.01      0.05     -0.04      0.02      0.01      0.01 
      0.60     41.00      0.10      0.07      0.35      0.00      1.00      0.06      0.30      0.25      0.06      0.01      0.05     -0.04      0.02      0.01      0.01 
      0.60     42.00      0.10      0.07      0.35      0.00      1.00      0.07      0.30      0.25      0.07      0.01      0.06     -0.04      0.02      0.01      0.01 
      0.60     43.00      0.10      0.07      0.35      0.00      1.00      0.07      0.30      0.25      0.07      0.01      0.06     -0.04      0.02      0.01      0.01 
      0.60     44.00      0.10      0.07      0.34      0.00      1.00      0.07      0.29      0.25      0.07      0.01      0.06     -0.04      0.02      0.01      0.01 
      0.60     45.00      0.10      0.07      0.34      0.00      1.00      0.07      0.29      0.25      0.07      0.01      0.06     -0.04      0.02      0.01      0.01 
      0.60     46.00      0.11      0.07      0.34      0.00      1.00      0.08      0.29      0.24      0.08      0.02      0.06     -0.04      0.02      0.01      0.01 
      0.60     47.00      0.11      0.07      0.34      0.00      1.00      0.08      0.29      0.24      0.08      0.02      0.06     -0.04      0.02      0.01      0.01 
      0.60     48.00      0.11      0.07      0.33      0.00      1.00      0.08      0.29      0.24      0.08      0.02      0.06     -0.04      0.02      0.01      0.01 
      0.60     49.00      0.11      0.07      0.33      0.00      1.00      0.08      0.28      0.24      0.08      0.02      0.06     -0.03      0.02      0.01      0.01 
      0.60     50.00      0.11      0.07      0.33      0.00      1.00      0.09      0.28      0.24      0.09      0.02      0.07     -0.03      0.02      0.01      0.01 
      0.60     51.00      0.11      0.07      0.33      0.00      1.00      0.09      0.28      0.23      0.09      0.02      0.07     -0.03      0.02      0.01      0.01 
      0.60     52.00      0.11      0.07      0.32      0.00      1.00      0.09      0.27      0.23      0.09      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     53.00      0.11      0.07      0.32      0.00      1.00      0.09      0.28      0.23      0.09      0.02      0.07     -0.03      0.02      0.01      0.01 
      0.60     54.00      0.11      0.07      0.32      0.00      1.00      0.09      0.27      0.23      0.09      0.02      0.07     -0.03      0.02      0.01      0.01 
      0.60     55.00      0.11      0.06      0.32      0.00      1.00      0.09      0.27      0.23      0.09      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     56.00      0.11      0.06      0.32      0.00      1.00      0.09      0.27      0.23      0.09      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     57.00      0.11      0.06      0.31      0.00      1.00      0.09      0.27      0.22      0.09      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     58.00      0.11      0.06      0.31      0.00      1.00      0.10      0.26      0.22      0.10      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     59.00      0.12      0.06      0.31      0.00      1.00      0.10      0.26      0.22      0.10      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     60.00      0.12      0.06      0.30      0.00      1.00      0.10      0.26      0.22      0.10      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     61.00      0.12      0.06      0.30      0.00      1.00      0.10      0.26      0.22      0.10      0.02      0.07     -0.03      0.03      0.01      0.01 
      0.60     62.00      0.12      0.06      0.30      0.00      1.00      0.10      0.25      0.21      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     63.00      0.12      0.05      0.29      0.00      1.00      0.10      0.25      0.21      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     64.00      0.12      0.05      0.29      0.00      1.00      0.10      0.25      0.21      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     65.00      0.12      0.05      0.29      0.00      1.00      0.10      0.24      0.21      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     66.00      0.12      0.05      0.28      0.00      1.00      0.10      0.24      0.20      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     67.00      0.12      0.05      0.28      0.00      1.00      0.10      0.24      0.20      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     68.00      0.12      0.04      0.28      0.00      1.00      0.10      0.24      0.20      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     69.00      0.12      0.04      0.27      0.00      1.00      0.10      0.23      0.20      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     70.00      0.12      0.04      0.27      0.00      1.00      0.10      0.23      0.20      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     71.00      0.12      0.04      0.27      0.00      1.00      0.10      0.23      0.19      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     72.00      0.12      0.04      0.27      0.00      1.00      0.10      0.23      0.19      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     73.00      0.12      0.03      0.26      0.00      1.00      0.10      0.23      0.19      0.10      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     74.00      0.12      0.03      0.26      0.00      1.00      0.09      0.22      0.19      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     75.00      0.11      0.03      0.26      0.00      1.00      0.09      0.22      0.19      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     76.00      0.11      0.03      0.26      0.00      1.00      0.09      0.22      0.19      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     77.00      0.11      0.03      0.26      0.00      1.00      0.09      0.22      0.19      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     78.00      0.11      0.02      0.26      0.00      1.00      0.09      0.22      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     79.00      0.11      0.02      0.25      0.00      1.00      0.09      0.22      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     80.00      0.11      0.02      0.25      0.00      1.00      0.09      0.22      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     81.00      0.11      0.02      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     82.00      0.11      0.02      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     83.00      0.11      0.01      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     84.00      0.11      0.01      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     85.00      0.11      0.01      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     86.00      0.11      0.01      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
      0.60     87.00      0.11      0.01      0.25      0.00      1.00      0.09      0.21      0.18      0.09      0.02      0.07     -0.03      0.03      0.00      0.01 
